11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 50234 sample.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 53000 akane_iro_ni_somaru_saka nagase_minato ryohka.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\yande.re 7682 sample akane_iro_ni_somaru_saka feng nagase_minato ryohka seifuku thighhighs.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\BBBB
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\BBBB\a3.jpg
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\BBBB\cccc.jpg
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0002
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0003
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0004
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0005
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0006
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0007
