03:59:48 = CLIENT_CONNECTION_RUNNING_FAILED|1530647988246|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
03:59:48 = COMMUNICATOR_CONNECTION_CLOSED|1530647988246|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
04:03:31 = BUILD_SOCKET_FAILED|1530648211635|Error|Build Socket Failed|setSocket[ClientConnection.java:204]<-loadDepotCFG[CFGFile.java:1006]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|java.net.ConnectException: Connection refused: connect
04:09:48 = RECEIVE_OVER_TIME|1530648588781|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:190]|You can check Your net make sure you and Server in a same LAN
04:10:38 = CLIENT_CONNECTION_RUNNING_FAILED|1530648638920|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
04:10:38 = COMMUNICATOR_CONNECTION_CLOSED|1530648638921|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
04:14:46 = BUILD_SOCKET_FAILED|1530648886877|Error|Build Socket Failed|setSocket[ClientConnection.java:204]<-loadDepotCFG[CFGFile.java:1006]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|java.net.ConnectException: Connection refused: connect
04:50:24 = EXECUTE_COMMAND_FAILED|1530651024227|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1031]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryConfigurations Failed
04:50:56 = EXECUTE_COMMAND_FAILED|1530651056167|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1031]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryConfigurations Failed
04:52:53 = EXECUTE_COMMAND_FAILED|1530651173932|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1031]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryConfigurations Failed
11:29:20 = EXECUTE_COMMAND_FAILED|1530674960208|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1031]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryConfigurations Failed
